state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
GA,-0.7802334273835269,0.8934718146301714,-0.27908908836643287,-0.15056586271739125,0.5528478696243238,-0.431720479033119,-0.9060974137722057,-0.8219598422485438,-0.7773982995889254,0.532411668605146,0.9999999999999999,-0.871471055168581,-0.8471928541935098,-0.10420808332349113,-0.11924582658804321,0.7207309801396274,0.3627553714930121,-0.2117942006645904,0.24770168948453603,0.5351817263756076,-0.8321862985887828,-0.769708636972891,-0.3021932003495666,0.4833038552299982,-0.8649469300647832,-0.05765420458341041,0.23710395072325058,-0.5972720110049692,0.529303297172938,-0.4977806192285826,-0.8890895747208768,-0.32949690472027,-0.6696373475530962,-0.8117605959051948,-0.87974316156683,-0.30434004847615004,0.5424928476470212,0.3078526045536457,-0.3253315078608687,0.8210354371038489,-0.3365274399425007,-0.8834608844236126,-0.7711907298855567,-0.737627994435084,0.12694877109908986,0.589767653355175,-0.5761024045074148,0.5995361727984033,-0.886448521729754,0.20316436397120438,-0.4839959572801154,-0.8131429041542098,0.8296216509225655,-0.46582097233518266
GU,0.931893386873166,-0.7878249249216422,0.39605310602107613,-0.14674055910747805,-0.4853697020621959,0.5205609472263012,0.9811773364493127,0.9677522518025609,0.861288687274791,-0.5832698688978698,-0.871471055168581,1.0,0.9529214648490062,0.042077538949633675,0.36680668288724616,-0.7520236253510516,-0.6323318396555734,0.264498699813571,-0.5760950349228331,-0.642134944848846,0.9645241130382164,0.8668550283807407,0.5250169444328581,-0.5199016707639645,0.8329767456779645,-0.2935848458148159,-0.20828724192981488,0.3876404045594954,-0.527487287454259,0.22721149095958673,0.8160899503368445,0.5611642998930932,0.8463010330767262,0.8577457756750604,0.7926607944021418,0.4556188228808237,-0.7011639891834607,-0.3052673082845493,0.5352431269022998,-0.7392431800438615,0.23188060005269223,0.9509627012983062,0.7639724939757537,0.9362624855486861,0.04340137591789232,-0.7218365922538474,0.3291390166406727,-0.3435053244536305,0.8516275625321582,-0.1532119023951585,0.6724958937325906,0.6822267323910721,-0.7009603168627945,0.13159228985604896
HI,0.9396140801537225,-0.7320711291984492,0.3683565595874968,-0.06467012253228727,-0.602393260002781,0.5278577174879656,0.9021539926022539,0.8472856189016515,0.9683761057835157,-0.6253207329754195,-0.8471928541935098,0.9529214648490062,1.0,-0.08028544161644843,0.4827166137045758,-0.844397731608217,-0.6500736074753322,0.23597994922989973,-0.5221194489914346,-0.8118055040080743,0.8785172628504223,0.9722362155219277,0.5922258151069729,-0.6334090488893427,0.7137687062298882,-0.2552599211181231,-0.215074518189647,0.4965482058082538,-0.39202007722091803,0.3198039449817714,0.8625468069159566,0.6900014533102927,0.8526086202721921,0.9313868047769172,0.8163980804210168,0.3402084165684586,-0.8267325534804129,-0.382114358419026,0.6367357414741963,-0.8022567497362272,0.47935282109848104,0.9783153694820638,0.8640164098357084,0.9256110189857875,0.21574480851350494,-0.8695332310559932,0.4381127885899247,-0.21311906157001387,0.8476818885450419,-0.03959276198915469,0.7029451568591901,0.5708106115732645,-0.56868692170077,0.15552678930299885
IA,-0.23742839637073485,-0.4916472940721466,0.7854983659972875,0.3324994454421582,-0.258157928065006,-0.6674833942906144,0.14052529716219672,0.12500088602558435,-0.2719064483667996,0.6055097197668466,-0.10420808332349113,0.042077538949633675,-0.08028544161644843,1.0,-0.3570774271949628,-0.27275213390998904,-0.1801685282947516,0.8806894068363077,-0.2680335527044924,0.4615604004617719,0.1302866428487088,-0.2569102704802817,0.1363780962148022,-0.36143586802518946,0.06870296897241038,0.22181336391063425,0.8416392349417992,-0.03178502202811212,-0.8091567636916542,-0.03448446153114628,-0.04512614469235674,-0.3133252567166429,-0.2915239334392536,-0.34680405484639326,-0.05215339975622537,-0.14196379315151794,-0.04883644305784063,0.8930532860844914,-0.17132842854907854,-0.36620726613222815,-0.43627985442650546,-0.13472329929030674,-0.3613815716664265,-0.07337649251785897,-0.8894486913186225,0.05305774420259981,-0.06599900687388402,-0.600401885027663,0.07187704581217202,-0.09191913965037493,0.1645069593616399,0.058802866355762734,-0.565161857723479,0.13035715161938716
ID,0.6010322027367536,-0.12269247952583197,0.1971914880616463,-0.6857109306922107,-0.07881464211040956,0.42580862373786416,0.20338601817635674,0.2790339779207496,0.5263335535964337,-0.45211022599485645,-0.11924582658804321,0.36680668288724616,0.4827166137045758,-0.3570774271949628,0.9999999999999998,-0.43457496211579466,-0.7660062238553683,0.01088349548178801,-0.6978109403363975,-0.5502617060793656,0.40549080521866016,0.5524804392929428,0.8298337720774064,-0.35619156819021447,0.05191072205025317,-0.8171154008383413,-0.11743100125182551,-0.3397548774097212,-0.04652924307039027,-0.4975371886382774,0.028260855621536005,0.9621539932680888,0.7228702647392437,0.4064397255127583,-0.06752686929097469,0.4866494120959987,-0.6709774194014166,-0.2658610318926968,0.9344684101498004,-0.25243874917741665,0.13854681436711722,0.34234327217220106,0.26200485195577167,0.6621221408936457,0.5457727071542495,-0.5619373351696585,-0.37899933038916817,0.6630188779504809,-0.05054746515161998,0.6291390515201908,0.7597796023634843,-0.22665186084329575,0.05600997334545912,-0.6817717732854379
IL,-0.6669729026895641,0.7930529056870954,-0.6373720700916788,-0.16750455833791805,0.8359332181431702,-0.03970222105234487,-0.6983175921573265,-0.614751990434214,-0.8014169566293862,0.19818471524143336,0.7207309801396274,-0.7520236253510516,-0.844397731608217,-0.27275213390998904,-0.43457496211579466,1.0,0.7205606433991776,-0.5888822744880227,0.5224967187736679,0.6469714902592293,-0.6809417485235297,-0.7923810626052051,-0.7095048526415324,0.9354206432646542,-0.4088223879550586,0.10837460079524754,-0.2622801815867379,-0.4689350469328731,0.6115925600514849,-0.2904612573827949,-0.6901315179768248,-0.6309641899649597,-0.578987232361416,-0.6449122242857552,-0.6295779760623267,-0.0326013943616693,0.9280023395146076,-0.06632502893004869,-0.651719701898816,0.9621515371011431,-0.46223570003394115,-0.7687742623924172,-0.5859383257970658,-0.7363749726490483,0.10446124682188498,0.9088263058775061,-0.4036369850784482,0.27758845004835886,-0.695198277539409,-0.2116817258098501,-0.7617037609407838,-0.26126433019120227,0.5807469866351012,-0.14465867670346325
IN,-0.6650727695818409,0.5225419146253406,-0.6618579273435274,0.4917445856601148,0.2963921198034004,-0.1812858363154783,-0.5344610613326236,-0.5913306486176932,-0.5660890365203678,0.2386650247025621,0.3627553714930121,-0.6323318396555734,-0.6500736074753322,-0.1801685282947516,-0.7660062238553683,0.7205606433991776,0.9999999999999998,-0.5101099566207689,0.9140861868761471,0.44421899516020014,-0.6982759586313018,-0.5912724764779095,-0.9222431886946117,0.6516812850711552,-0.2947501329137589,0.7321988903567604,-0.2583741762983513,0.19070439379206355,0.5737349850951768,0.39500639088079004,-0.22181075282583917,-0.809271082633456,-0.7290127504287306,-0.41372351649040995,-0.14768251431487683,-0.5004773112965619,0.8484809429649723,-0.12964950935378283,-0.8858360995133783,0.5709369004388029,0.024906390848499424,-0.5110611947428939,-0.24618987604414186,-0.798415218089846,-0.04927934281724389,0.7178373018477423,0.2759506687505028,-0.211677519393141,-0.2618248366799566,-0.4851691804741435,-0.9522674485978339,0.019019014058539157,0.3676042274251278,0.5359095117671385
KS,0.04112052180985007,-0.5741498923403648,0.9678895764376387,0.2396071551443485,-0.47705878671757607,-0.5255412333235062,0.2952284163663818,0.2611099341732598,0.07081013671332125,0.38099315537002887,-0.2117942006645904,0.264498699813571,0.23597994922989973,0.8806894068363077,0.01088349548178801,-0.5888822744880227,-0.5101099566207689,1.0,-0.5175140251331716,0.04869313033345254,0.3181710169549632,0.100966533887112,0.5178835786280657,-0.6596816046316503,0.08793604770749136,-0.0012797745546083716,0.8697667031384902,0.04778822287074546,-0.8044758535383679,-0.04454108264423007,0.1338890443289362,0.09987882529330495,-0.005530699643059452,-0.06802173503941035,0.07559289978695212,-0.09191271012783003,-0.4601546583755063,0.7800212690154839,0.22520506771336146,-0.5861172015804937,-0.1739046174121374,0.118187467634251,-0.10222032720941145,0.2262234033705066,-0.622831759429254,-0.36500357924341686,-0.014277674791371828,-0.38968472334743454,0.2133708074928727,0.12430937607131093,0.5136432940116568,-0.011196203638343899,-0.5212858241646215,-0.009611666213149747
KY,-0.6056106150611107,0.46294504089593047,-0.6910527230092431,0.6202055952992761,0.07228975070342963,-0.20721813981640044,-0.5017190813745671,-0.6052695541341874,-0.39555537451329786,0.18639198803940604,0.24770168948453603,-0.5760950349228331,-0.5221194489914346,-0.2680335527044924,-0.6978109403363975,0.5224967187736679,0.9140861868761471,-0.5175140251331716,1.0,0.21943078588028292,-0.6894098165134338,-0.44072874373631765,-0.8247303374786389,0.41712162719994456,-0.3434558621724824,0.7871559131675938,-0.26201433325395335,0.3848839364937563,0.5987777383405863,0.5540488014130016,-0.09223393439359054,-0.7034154001953105,-0.6763024247511241,-0.29769287812836204,-0.016411479276995895,-0.6325362820296507,0.6283452384047056,-0.20970162751419646,-0.7367467775345323,0.39539977973125323,0.2880456962378115,-0.3863371999667962,-0.12283676009983063,-0.7507846409750211,-0.004600000541196516,0.4757274424271528,0.4670844394145164,-0.20364272225404456,-0.13639191663344982,-0.2774337705270753,-0.8369427805563368,-0.04662334171575382,0.3985490333411892,0.6163878547082339
LA,-0.7303864280630575,0.284901187202648,-0.06213134348890367,0.016623373923866397,0.5452971327962398,-0.5336055940467853,-0.5388107333236337,-0.45891786054991657,-0.8925984070836145,0.708689957851568,0.5351817263756076,-0.642134944848846,-0.8118055040080743,0.4615604004617719,-0.5502617060793656,0.6469714902592293,0.44421899516020014,0.04869313033345254,0.21943078588028292,0.9999999999999998,-0.5049561847706536,-0.8962192125561208,-0.522246029474753,0.5241843252502166,-0.32413396752324086,0.21270973997010215,0.33131287747641225,-0.5109089178894755,-0.11430607837971486,-0.35472833746755444,-0.6973213522987164,-0.71700825497552,-0.6782214270241677,-0.8421246929772425,-0.6375147845010041,-0.07691322961719516,0.7627853878510907,0.5983157974242471,-0.6475490991372062,0.528383893997726,-0.7464762906254426,-0.7773929004392588,-0.8357729292942347,-0.6756803588726402,-0.5909276071364556,0.8662652958796989,-0.47914906271004454,-0.16031097420604162,-0.6171119243992602,-0.18936417209750012,-0.543628647940714,-0.22712261500260178,0.0490665124195037,-0.09490101247295801
MA,0.9121411584190335,-0.812222660207734,0.4750275576212459,-0.3029635707639367,-0.3119123649539104,0.5353499027617,0.9587447896521065,0.9755666040346179,0.7500587978477545,-0.5800723752292346,-0.8321862985887828,0.9645241130382164,0.8785172628504223,0.1302866428487088,0.40549080521866016,-0.6809417485235297,-0.6982759586313018,0.3181710169549632,-0.6894098165134338,-0.5049561847706536,0.9999999999999999,0.7727779291992165,0.5786552137618006,-0.42755926389435844,0.8719484412597486,-0.4289467576813891,-0.1557501778986794,0.1961413504622479,-0.620826017115564,0.04057892671147685,0.6903040192300944,0.5546409735012888,0.8739384295249246,0.7657667118148035,0.6591357877137363,0.6370153875821196,-0.6394479456452219,-0.2149512188085784,0.568122661443086,-0.6756823050853469,0.02258115795221553,0.8554694899233762,0.6407558885827449,0.9409697643401124,-0.028797442955186502,-0.6144022504117947,0.1380284112100227,-0.30974999798601116,0.7316687309691057,-0.09017114186283488,0.7399533968440777,0.6797820102080044,-0.7668145049343994,-0.012450972262307831
MD,0.9219774610058676,-0.6003414045747298,0.24480860880403155,-0.06813036436332766,-0.5653874017991178,0.6055759162327768,0.7951503309482129,0.7229824800009661,0.9942225286700765,-0.6993446135609513,-0.769708636972891,0.8668550283807407,0.9722362155219277,-0.2569102704802817,0.5524804392929428,-0.7923810626052051,-0.5912724764779095,0.100966533887112,-0.44072874373631765,-0.8962192125561208,0.7727779291992165,1.0000000000000002,0.5642687560271209,-0.5811117424802668,0.6225896486201283,-0.25069714916174135,-0.31769551084660597,0.5221732297903717,-0.19556520333511448,0.3502914300270322,0.8442928022817685,0.7474528289640743,0.846837761269228,0.9631672059333772,0.7872210968482031,0.30650791347943995,-0.8181159054759033,-0.512411584306204,0.6584327728624887,-0.7296938931467066,0.6209897257911797,0.9483929945987374,0.917764874999488,0.875324923554437,0.41243521755986234,-0.884344216557324,0.4709641543901052,-0.060791991649019946,0.7845572424156908,-0.0005517770332154626,0.648243659187776,0.49675412423271137,-0.4057487552635534,0.14493826924997671
ME,0.578469793328348,-0.44986782992229596,0.6529013369128175,-0.44657337150755283,-0.3626408699766955,0.11837315037258203,0.40700399869177645,0.45356190703499527,0.5291468377877949,-0.2715112119561189,-0.3021932003495666,0.5250169444328581,0.5922258151069729,0.1363780962148022,0.8298337720774064,-0.7095048526415324,-0.9222431886946117,0.5178835786280657,-0.8247303374786389,-0.522246029474753,0.5786552137618006,0.5642687560271209,1.0,-0.6755644382096115,0.15450549715899844,-0.6947045155732101,0.3182664910505935,-0.213544872786364,-0.48198505803609476,-0.40249945991714675,0.15983827468592313,0.8617029954908356,0.6549459230398059,0.36129293799376216,0.05643482777203326,0.3634494113679929,-0.8434768654143804,0.12406016446991767,0.9418943721003346,-0.55573752581957,0.03259974832727795,0.41935591343496686,0.2156521205288312,0.7280649090550544,0.10716374416262033,-0.7139782535522292,-0.27331740360672696,0.29726708626901377,0.1517863919068522,0.6463596239325707,0.9630655690366553,-0.14173651870486503,-0.26919562172772055,-0.5443870471156745
MI,-0.39904268918348434,0.6189169443382371,-0.6421425076652483,-0.279926917639744,0.8928768014320724,0.27125487633559064,-0.4525989647215247,-0.3741397300036606,-0.6052676222804051,-0.08848976094930694,0.4833038552299982,-0.5199016707639645,-0.6334090488893427,-0.36143586802518946,-0.35619156819021447,0.9354206432646542,0.6516812850711552,-0.6596816046316503,0.41712162719994456,0.5241843252502166,-0.42755926389435844,-0.5811117424802668,-0.6755644382096115,1.0,-0.08995270944305964,0.020566937555104418,-0.4849343558082021,-0.3962818605540842,0.5701036395488497,-0.23431567110430446,-0.4758780737216181,-0.5226566350513239,-0.31554024071973236,-0.3807166426467685,-0.4235494094469963,0.23874958233552498,0.8800450846230902,-0.27833750261031276,-0.5788979986173263,0.8713492868295759,-0.4338518427917337,-0.5413736301044652,-0.3379165527909069,-0.5093362027310474,0.21488698057903668,0.8422373987995133,-0.3334736616970565,0.20995020774232406,-0.507090512085257,-0.35642001955224195,-0.6675120339675865,0.03983377505508019,0.38903624081053756,-0.08872859887831457
MN,0.7751071202532565,-0.756924349103606,0.21575925207841676,-0.11832306194638824,-0.12155600447685584,0.6394917093343618,0.9010748180912297,0.8766525771469557,0.6000263504824519,-0.6324400769844796,-0.8649469300647832,0.8329767456779645,0.7137687062298882,0.06870296897241038,0.05191072205025317,-0.4088223879550586,-0.2947501329137589,0.08793604770749136,-0.3434558621724824,-0.32413396752324086,0.8719484412597486,0.6225896486201283,0.15450549715899844,-0.08995270944305964,1.0000000000000002,-0.11836836384845455,-0.38772829204478254,0.3530693616876446,-0.45766089384104947,0.28271909911509846,0.7475510916177578,0.20334506635329402,0.7053818621700787,0.7400642696756937,0.7489772864304642,0.6256360783106762,-0.2711400965821481,-0.361652196302071,0.17789584893945345,-0.5115612470348041,0.024281068194829666,0.7698611347331052,0.680888813979247,0.7141026939411739,-0.05930439567763766,-0.312646907904317,0.32933065024357505,-0.5286635075673833,0.7602024640870183,-0.43411695874874195,0.37019959616188636,0.941436727292489,-0.806316712296113,0.31125652943323606
MO,-0.4748629442634476,-0.0013056866132572854,-0.2027319338892799,0.9405971245899026,-0.3353119457923796,-0.42667382296961537,-0.17861971065773705,-0.34241532593640456,-0.20636534070004478,0.384165504559858,-0.05765420458341041,-0.2935848458148159,-0.2552599211181231,0.22181336391063425,-0.8171154008383413,0.10837460079524754,0.7321988903567604,-0.0012797745546083716,0.7871559131675938,0.21270973997010215,-0.4289467576813891,-0.25069714916174135,-0.6947045155732101,0.020566937555104418,-0.11836836384845455,1.0,0.09519105341052805,0.6714067712038299,0.1245115094007018,0.7998738956167155,0.22893093959874172,-0.7063273665035817,-0.648962885831619,-0.1571749135797787,0.28765663326769514,-0.7383871631155785,0.38037778460769356,0.12722161566475743,-0.7549133092795474,-0.074307619899153,0.3571531896289418,-0.1339395882123993,0.03033604067761327,-0.5686980260431924,-0.36195271608426,0.2339129568118152,0.7158526763452574,-0.638922180467493,0.217099229335239,-0.5178556537264948,-0.6783726411027107,0.19347311880237397,-0.04239689469798731,0.8907469436231394
